Code	RA		N/S	DEC	Diameter	mag	Name
IC1	0.140917	+	27.719167	0.0	0.0	-
IC2	0.183556	-	12.822222	0.8	14.7	-
IC3	0.201667	-	0.414722	0.6	13.8	-
IC4	0.224167	+	17.485833	1.0	13.1	-
IC5	0.293028	-	9.542778	0.9	13.8	-
IC6	0.315250	-	3.276111	0.8	13.5	-
IC7	0.314722	+	10.595278	0.7	13.8	-
IC8	0.317389	-	3.221944	0.8	14.4	-
IC9	0.328944	-	14.121389	0.4	14.4	-
IC10	0.340139	+	59.292500	6.4	10.4	-
IC11	0.881611	+	56.625000	35.0	0.0	-
IC12	0.337556	-	2.653333	0.8	14.9	-
IC13	0.338917	+	7.700556	1.4	14.0	-
IC14	0.375361	+	10.490278	0.0	0.0	-
IC15	0.465972	-	0.061389	0.4	15.0	-
IC16	0.468806	-	13.094167	0.5	14.6	-
IC17	0.474917	+	2.648611	0.5	15.1	-
IC18	0.476389	-	11.586389	1.1	14.6	-
IC19	0.477611	-	11.640278	0.8	14.1	-
IC20	0.477667	-	13.009722	0.6	13.8	-
IC21	0.486222	-	0.163611	0.5	15.2	-
IC22	0.492528	-	9.080278	0.7	13.9	-
IC23	0.514083	-	12.719722	0.7	14.0	-
IC24	0.521306	+	30.840556	0.0	0.0	-
IC25	0.520056	-	0.407500	1.0	14.3	-
IC26	0.529417	-	13.337778	0.5	15.1	-
IC27	0.551722	-	13.371111	0.6	14.8	-
IC28	0.552389	-	13.455833	0.6	14.9	-
IC29	0.569639	-	2.176944	0.7	15.1	-
IC30	0.570750	-	2.084722	0.7	15.9	-
IC31	0.573500	+	12.268611	1.6	14.3	-
IC32	0.583778	-	2.141111	0.4	14.9	-
IC33	0.584722	-	2.137778	0.7	14.5	-
IC34	0.593444	+	9.125000	2.4	12.6	-
IC35	0.627750	+	10.357500	1.0	14.0	-
IC36	0.630444	-	15.440833	0.6	14.5	-
IC37	0.642833	-	15.358611	0.8	14.9	-
IC38	0.644111	-	15.419167	0.9	14.0	-
IC39	0.652333	-	14.172222	2.1	12.6	-
IC40	0.655917	+	2.456111	1.0	14.4	-
IC41	0.661194	-	14.173889	0.4	14.7	-
IC42	0.684972	-	15.428333	0.7	14.8	-
