Code;RA;N/S;DEC;Diameter;mag;Name;Alias;
M1;5.5755480;+;22.014467;6;8.4;Crab nebula;NGC1952/Sh2-244;
M2;21.557544;-;0.8231940;12.9;6.5;;NGC7089;
M3;13.703139;+;28.376389;16.2;6.4;;NGC5272;
M4;16.393119;-;26.526306;26.3;5.9;;NGC6121;
M5;15.309306;+;2.0824170;17.4;5.8;;NGC5904;
M6;17.672222;-;32.253333;15;4.2;Butterfly cluster;NGC6405;
M7;17.897500;-;34.793333;80;3.3;Ptolemy cluster;NGC6475;
M8;18.061472;-;24.380000;90;5.8;Lagoon nebula;NGC6523/NGC6533/Sh2-25;
M9;17.319936;-;18.516167;9.3;7.9;;NGC6333;
M10;16.952544;-;4.0988330;15.1;6.6;;NGC6254;
M11;18.851389;-;6.2700000;14;5.8;Wild Duck cluster;NGC6705;
M12;16.787319;-;1.9476940;14.5;6.6;Gumball Globular cluster;NGC6218;
M13;16.694783;+;36.459806;16.6;5.9;Hercules globular cluster;NGC6205;
M14;17.626694;-;3.2452500;11.7;7.6;;NGC6402;
M15;21.499550;+;12.167167;12.3;6.4;;NGC7078;
M16;18.313333;-;13.806667;35;6;Eagle nebula;NGC6611/Sh2-49;
M17;18.346389;-;16.171667;46;6;Omega nebula;NGC6618/Sh2-45;
M18;18.332917;-;17.101944;9;6.9;Black Swan cluster;NGC6613;
M19;17.043792;-;26.267694;13.5;7.2;;NGC6273;
M20;18.045000;-;22.971667;29;6.3;Trifid nebula;NGC6514/Sh2-30;
M21;18.070278;-;22.490000;13;5.9;;NGC6531;
M22;18.606706;-;23.904778;24;5.1;Sagittarius cluster;NGC6656;
M23;17.951111;-;18.985000;27;5.5;;NGC6494;
M24;18.280000;-;18.550000;90;4.6;Small Sagittarius Star Cloud;IC4715;
M25;18.530000;-;19.113333;32;4.6;;IC4725;
M26;18.755000;-;9.3833330;15;8;;NGC6694;
M27;19.993411;+;22.720917;15.2;8.1;Dumbbell nebula;NGC6853;
M28;18.409097;-;24.868472;11.2;6.9;;NGC6626;
M29;20.399167;+;38.508333;7;6.6;Cooling Tower;NGC6913;
M30;21.672833;-;23.179194;11;7.5;;NGC7099;
M31;0.7123050;+;41.268903;178;3.5;Andromeda galaxy;NGC224;
M32;0.7116360;+;40.865056;7.6;8.2;;NGC221;
M33;1.5641390;+;30.660167;62;5.7;Triangulum galaxy;NGC598;
M34;2.7013890;+;42.761667;35;5.2;;NGC1039;
