NGC1	0.121083	+	27.708889	1.7	12.9	-
NGC2	0.121417	+	27.678611	1	14.2	-
NGC3	0.121333	+	8.301389	1.1	13.3	-
NGC4	0.123472	+	8.373889	0.6	15.8	-
NGC5	0.130222	+	35.362778	1.2	13.3	-
NGC6	0.159056	+	33.308889	1.7	13.1	-
NGC7	0.139083	-	29.916389	2.2	13.9	-
NGC8	0.145917	+	23.838611			-
NGC9	0.148472	+	23.817778	1.1	13.5	-
NGC10	0.142861	-	33.857778	2.4	12.5	-
NGC11	0.145083	+	37.448056	1.5	13.7	-
NGC12	0.145778	+	4.612222	1.1	13.1	-
NGC13	0.146583	+	33.433056	2.3	13.2	-
NGC14	0.146194	+	15.815833	2.8	12.1	-
NGC15	0.150667	+	21.625000	1	13.8	-
NGC16	0.151167	+	27.730000	1.8	12	-
NGC17	0.185167	-	12.107778	2.1	14.4	-
NGC18	0.156389	+	27.732222			-
NGC19	0.178000	+	32.982778	1.1	13.3	-
NGC20	0.159056	+	33.308889	1.7	13.1	-
NGC21	0.179722	+	33.351944	1.5	12.7	-
NGC22	0.163389	+	27.832778	1.3	13.6	-
NGC23	0.164806	+	25.923889	2.1	12	-
NGC24	0.165583	-	24.964444	5.8	11.6	-
NGC25	0.166472	-	57.020278	1.4	13	-
NGC26	0.173861	+	25.832222	2.1	12.9	-
NGC27	0.175750	+	28.996944	1.2	13.5	-
NGC28	0.173667	-	56.988889	0.8	13.8	-
NGC29	0.179722	+	33.351944	1.5	12.7	-
NGC30	0.180778	+	21.977500			-
NGC31	0.177361	-	56.986111	1.3	13.9	-
NGC32	0.181444	+	18.792500	0.6		-
NGC33	0.182389	+	3.676389			-
NGC34	0.185167	-	12.107778	2.1	14.4	-
NGC35	0.186222	-	12.020556	0.7	14.1	-
NGC36	0.189556	+	6.388889	2.2	13.3	-
NGC37	0.189722	-	56.956944	1.1	13.7	-
NGC38	0.196389	-	5.586389	1.4	13.3	-
NGC39	0.205222	+	31.060833	1.1	13.5	-
NGC40	0.216944	+	72.522500	1.23	12.3	-
NGC41	0.213333	+	22.023889	0.8	13.7	-
NGC42	0.215639	+	22.100833	1.1	13.8	-
NGC43	0.216917	+	30.915556	1.6	12.6	-
NGC44	0.220389	+	31.286667			-
NGC45	0.234444	-	23.181389	8.5	10.6	-
NGC46	0.236111	+	5.987222			-
NGC47	0.241806	-	7.167778	2.3	13.1	-
NGC48	0.233917	+	48.235000	1.6	13.6	-
NGC49	0.239556	+	48.247222	1.1	13.7	-
NGC50	0.245722	-	7.345000	2.4	12.3	-
NGC51	0.243000	+	48.256111	1.3	13.1	-
NGC52	0.244444	+	18.581667	2.2	13.4	-
NGC53	0.245278	-	60.328611	2	12.6	-
NGC54	0.252111	-	7.106667	1.3	13.4	-
NGC55	0.252222	-	39.219444	31.2	7.9	-
NGC56	0.255722	+	12.444444			-
NGC57	0.258583	+	17.329167	2.2	11.6	-
NGC58	0.241806	-	7.167778	2.3	13.1	-
NGC59	0.257028	-	21.444722	2.6	12.4	-
NGC60	0.266167	-	0.303611	1.3	14.1	-
NGC61A	0.273333	-	6.317222	1.1	13	-
NGC61B	0.273444	-	6.322222	0.9	14.5	-
NGC62	0.284806	-	13.486389	1.1	13.2	-
NGC63	0.295972	+	11.450000	1.7	11.7	-
NGC64	0.291750	-	6.825000	1.6	13.2	-
NGC65	0.316306	-	22.880000	1	13.9	-
NGC66	0.318028	-	22.936389	1.2	13.5	-
NGC67	0.304139	+	30.063333	0.3	14.2	-
NGC67A	0.303361	+	30.055278	0.4	14.7	-
NGC68	0.305056	+	30.072500	1.2	12.9	-
NGC69	0.305667	+	30.040556	0.5	14.7	-
NGC70	0.306222	+	30.078889	1.6	13.5	-
NGC71	0.306528	+	30.063056	1.2	13.2	-
NGC72	0.307889	+	30.040556	1.1	13.5	-
NGC72A	0.309528	+	30.036111	0.3	14.7	-
NGC73	0.310806	-	15.321667	1.7	13.7	-
NGC74	0.313750	+	30.061389	0.8	14.8	-
NGC75	0.323972	+	6.449722	1.1	13.2	-
NGC76	0.327139	+	29.934167	1	13.1	-
NGC77	0.333778	-	22.532222	0.4	14.8	-
NGC78A	0.340500	+	0.826389	1.1	12.8	-
NGC78B	0.340972	+	0.833333	1	13.5	-
NGC79	0.350778	+	22.567222	0.6	14	-
NGC80	0.353028	+	22.357778	1.6	12.1	-
NGC81	0.353667	+	22.383333	0.2	15.7	-
NGC82	0.354889	+	22.461111			-
NGC83	0.356278	+	22.434167	1.5	12.5	-
NGC84	0.355889	+	22.619167			-
NGC85	0.357083	+	22.512222	0.7	14.8	-
NGC85A	0.357083	+	22.512222	0.7	14.8	-
NGC85B	0.358083	+	22.506389	0.9	14.7	-
NGC86	0.357944	+	22.556389	0.7	14.8	-
NGC87	0.353944	-	48.628889	0.9	14.3	-
NGC88	0.356111	-	48.639722	0.8	14.4	-
NGC89	0.356750	-	48.665278	1.2	13.5	-
NGC90	0.364333	+	22.400556	1.9	13.7	-
NGC91	0.364361	+	22.368889			-
NGC92	0.358722	-	48.624722	1.9	13.1	-
NGC93	0.367611	+	22.408889	1.4	13.2	-
NGC94_1	0.370444	+	22.483333	0.4	14.6	-
NGC94_2	0.370500	+	22.473889	0.4	15.5	-
NGC95	0.370444	+	10.491944	1.5	12.5	-
NGC96	0.371611	+	22.546667	0.6	14.6	-
NGC97	0.375000	+	29.745556	1.3	12.3	-
NGC98	0.380361	-	45.268333	1.6	12.7	-
NGC99	0.399889	+	15.770000	1	13.7	-
NGC100	0.400722	+	16.486389	4.2	13.3	-
NGC101	0.398472	-	32.536389	2.1	12.8	-
NGC102	0.410139	-	13.956111	1	13.5	-
NGC103	0.421472	+	61.321944	5	9.8	-
NGC104	0.401444	-	72.080278	50	4	-
NGC105	0.421361	+	12.883611	1.1	13.2	-
NGC106	0.412139	-	5.148889	0.9	13.7	-
NGC107	0.428361	-	8.283333	0.9	14.2	-
NGC108	0.433250	+	29.211944	2.3	12.1	-
NGC109	0.437389	+	21.807778	1.1	13.7	-
NGC110	0.457056	+	71.390556	19		-
NGC111	1.928361	-	3.066111	0.9	14.4	-
NGC112	0.446889	+	31.702778	1	13.6	-
NGC113	0.448528	-	2.500556	1.4	13.1	-
NGC114	0.449500	-	1.785833	0.8	13.8	-
NGC115	0.446111	-	33.676111	1.9	13.1	-
NGC116	0.452500	-	7.938333			-
NGC117	0.453028	+	1.334167	0.7	14.3	-
NGC118	0.454472	-	1.779722	0.7	13.6	-
NGC119	0.449333	-	56.977778	1	13	-
NGC120	0.458361	-	1.513611	1.5	13.4	-
NGC121	0.446417	-	71.536667	1.5	11.2	-
NGC122	0.460639	-	1.640000			-
NGC123	0.460056	-	1.599444			-
NGC124	0.464528	-	1.810278	1.4	13	-
NGC125	0.480639	+	2.838611	1.8	12.1	-
NGC126	0.485583	+	2.811111	0.8	14.2	-
NGC127	0.486750	+	2.873333	0.8	14.8	-
NGC128	0.487472	+	2.865000	2.5	11.8	-
NGC129	0.499444	+	60.211667	12	6.5	-
NGC130	0.488500	+	2.871111	0.7	14.4	-
NGC131	0.493917	-	33.260278	1.8	13.2	-
NGC132	0.502944	+	2.093056	1.9	12.6	-
NGC133	0.521667	+	63.351667	3	9.4	-
NGC134	0.506056	-	33.245000	8.4	10.4	-
NGC135	0.529417	-	13.337778	0.5	15.1	-
NGC136	0.525194	+	61.509167	1.5		-
