CG And;0.012121;+;45.253333;0;6.36;-
tau Phe;0.017939;-;48.809875;0;5.71;-
tet Oct;0.026577;-;77.065694;0;4.78;-
29 Psc;0.030402;-;3.027503;0;5.13;-
30 Psc;0.032672;-;6.014069;0;4.37;-
85 Peg;0.036163;+;27.082128;0;5.8;-
zet Scl;0.038868;-;29.720414;0;5.04;-
31 Psc;0.040046;+;8.956828;0;6.33;-
c Psc;0.041584;+;8.485467;0;5.7;-
2 Cet;0.062326;-;17.335969;0;4.55;-
9 Cas;0.070462;+;62.287664;0;5.9;-
3 Cet;0.075033;-;10.509522;0;4.99;-
33 Psc;0.088927;-;5.707622;0;4.61;-
86 Peg;0.094989;+;13.396267;0;5.55;-
10 Cas;0.107369;+;64.196169;0;5.57;-
4 Cet;0.12892;-;2.548678;0;6.43;-
5 Cet;0.136694;-;2.447708;0;6.18;-
87 Peg;0.150674;+;18.211964;0;5.57;-
bet Cas;0.15281;+;59.150194;0;2.28;Caph
kap01 Scl;0.155853;-;27.987944;0;5.42;-
eps Phe;0.156844;-;45.747419;0;3.88;-
gam03 Oct;0.167271;-;82.224047;0;5.29;-
34 Psc;0.167279;+;11.145819;0;5.54;-
22 And;0.172013;+;46.072272;0;5.01;-
6 Cet;0.187738;-;15.467972;0;4.89;-
kap02 Scl;0.192894;-;27.799739;0;5.41;-
tet Scl;0.195558;-;35.133117;0;5.24;-
gam Peg;0.220597;+;15.183617;0;2.83;Algenib
23 And;0.225233;+;41.035406;0;5.71;-
chi Peg;0.243379;+;20.206697;0;4.79;-
7 Cet;0.244004;-;18.932864;0;4.44;-
35 Psc;0.249678;+;8.820961;0;6.02;-
36 Psc;0.276123;+;8.24015;0;6.12;-
tet And;0.28486;+;38.681644;0;4.61;-
38 Psc;0.29014;+;8.876353;0;6.66;-
AO Cas;0.295294;+;51.433089;0;6.11;-
sig And;0.305461;+;36.785228;0;4.51;-
26 And;0.311714;+;43.79115;0;6.1;-
iot Cet;0.323798;-;8.823919;0;3.56;Deneb Kaitos Shemali
40 Psc;0.332299;+;16.250872;0;6.6;-
zet Tuc;0.334517;-;64.874786;0;4.23;-
d Psc;0.343295;+;8.190272;0;5.38;-
pi. Tuc;0.344177;-;69.624914;0;5.5;-
rho And;0.352019;+;37.968606;0;5.16;-
iot Scl;0.358666;-;28.981469;0;5.18;-
T Cet;0.362854;-;20.058022;0;5.61;-
42 Psc;0.373745;+;13.482489;0;6.25;-
9 Cet;0.381052;-;12.209442;0;6.39;-
12 Cas;0.413196;+;61.831058;0;5.38;-
44 Psc;0.423391;+;1.939689;0;5.77;-
45 Psc;0.428309;+;7.691122;0;6.77;-
bet Hyi;0.429189;-;77.25425;0;2.82;-
kap Phe;0.436723;-;43.679831;0;3.93;-
alf Phe;0.438063;-;42.306089;0;2.4;Ankaa
10 Cet;0.443726;+;0;0;6.16;-
eta Scl;0.465471;-;33.007167;0;4.86;-
46 Psc;0.466241;+;19.514036;0;6.4;-
47 Psc;0.467476;+;17.893122;0;5.01;-
48 Psc;0.470195;+;16.445069;0;6.05;-
12 Cet;0.500655;-;3.957331;0;5.72;-
28 And;0.502046;+;29.751556;0;5.2;-
lam01 Phe;0.523606;-;48.803514;0;4.76;-
13 Cas;0.523675;+;66.519611;0;6.18;-
bet01 Tuc;0.525741;-;62.958225;0;4.36;-
bet02 Tuc;0.525963;-;62.965564;0;4.53;-
lam Cas;0.529532;+;54.522264;0;4.74;-
51 Psc;0.539938;+;6.955467;0;5.69;-
52 Psc;0.543191;+;20.294325;0;5.38;-
bet03 Tuc;0.545529;-;63.031503;0;5.07;-
kap Cas;0.549996;+;62.931786;0;4.17;-
tet Tuc;0.556489;-;71.266244;0;6.11;-
16 Cas;0.573589;+;66.750353;0;6.47;-
13 Cet;0.587468;-;3.592817;0;5.2;-
14 Cet;0.592454;+;0;0;5.94;-
lam02 Phe;0.594771;-;48.000908;0;5.51;-
53 Psc;0.613143;+;15.231731;0;5.89;-
pi. And;0.614679;+;33.719344;0;4.34;-
zet Cas;0.616186;+;53.896931;0;3.69;-
15 Cet;0.634595;+;0;0;6.64;-
eps And;0.642596;+;29.311744;0;4.34;-
del And;0.655466;+;30.861019;0;3.27;-
54 Psc;0.656057;+;21.250464;0;5.88;-
55 Psc;0.665437;+;21.438506;0;5.36;-
alf Cas;0.675108;+;56.537406;0;2.24;Schedar
32 And;0.685329;+;39.458664;0;5.3;-
mu. Phe;0.688766;-;46.085008;0;4.59;-
ksi Phe;0.696221;-;56.501317;0;5.72;-
ksi Cas;0.701082;+;50.512522;0;4.8;-
rho Tuc;0.707881;-;65.468033;0;5.38;-
lam01 Scl;0.711916;-;38.463425;0;6.05;-
eta Phe;0.722567;-;57.463069;0;4.36;-
pi. Cas;0.724464;+;47.024544;0;4.95;-
bet Cet;0.726455;-;17.986678;0;2.04;Diphda
phi01 Cet;0.7365;-;10.609547;0;4.77;-
lam02 Scl;0.736694;-;38.421694;0;5.9;-
68 Cas;0.740609;+;47.863981;0;5.66;-
omi Cas;0.745418;+;48.284381;0;4.48;-
18 Cet;0.757969;-;12.880794;0;6.15;-
21 Cas;0.760855;+;74.988072;0;5.64;-
57 Psc;0.775822;+;15.4755;0;5.36;-
58 Psc;0.783739;+;11.973856;0;5.51;-
59 Psc;0.787119;+;19.578703;0;6.11;-
zet And;0.788996;+;24.267364;0;4.08;-
60 Psc;0.789898;+;6.740947;0;5.98;-
23 Cas;0.796126;+;74.847572;0;5.42;-
61 Psc;0.798563;+;20.925347;0;6.51;-
62 Psc;0.804836;+;7.299928;0;5.92;-
lam Hyi;0.809837;-;74.923433;0;5.09;-
del Psc;0.811373;+;7.585083;0;4.44;-
nu. Cas;0.813887;+;50.968192;0;4.9;-
64 Psc;0.816308;+;16.940642;0;5.07;-
eta Cas;0.818096;+;57.8165;0;3.46;Achird
nu. And;0.830235;+;41.078911;0;4.53;-
65 Psc B;0.831435;+;27.710306;0;5.55;-
phi02 Cet;0.835442;-;10.644317;0;5.17;-
rho Phe;0.844774;-;50.986817;0;5.24;-
lam01 Tuc;0.873478;-;69.503767;0;6.67;-
20 Cet;0.883471;-;1.144258;0;4.78;-
21 Cet;0.904887;-;8.740661;0;6.15;-
66 Psc;0.909785;+;19.188378;0;5.8;-
36 And;0.916136;+;23.628406;0;5.46;-
ups01 Cas;0.91671;+;58.972692;0;4.83;-
lam Tuc;0.916754;-;69.527081;0;5.45;-
k Psc;0.932919;+;27.209383;0;6.08;-
phi03 Cet;0.933747;-;11.266522;0;5.35;-
ups02 Cas;0.944418;+;59.181053;0;4.62;-
mu. And;0.945863;+;38.499261;0;3.86;-
eta And;0.953444;+;23.417656;0;4.4;-
h Psc;0.963931;+;28.992217;0;5.44;-
alf Scl;0.976767;-;29.357447;0;4.3;-
phi04 Cet;0.978852;-;11.379975;0;5.62;-
ksi Scl;1.021743;-;38.916531;0;5.59;-
ome Phe;1.033839;-;57.002386;0;6.12;-
U Cep;1.038456;+;81.875575;0;6.9;-
sig Scl;1.040676;-;31.552003;0;5.5;-
sig Psc;1.046971;+;31.804261;0;5.5;-
39 And;1.048406;+;41.345169;0;5.95;-
eps Psc;1.049058;+;7.890136;0;4.27;-
25 Cet;1.050704;-;4.8366;0;5.4;-
26 Cet;1.063619;+;1.366844;0;6.06;-
73 Psc;1.081288;+;5.656264;0;6.03;-
72 Psc;1.084821;+;14.946133;0;5.64;-
27 Cet;1.093579;-;9.979325;0;6.09;-
74 Psc A;1.094711;+;21.473169;0;5.33;-
74 Psc B;1.094919;+;21.465458;0;5.55;-
77 Psc A;1.097011;+;4.908383;0;6.35;-
77 Psc B;1.097621;+;4.909428;0;7.42;-
bet Phe;1.101409;-;46.718456;0;3.32;-
28 Cet;1.10143;-;9.839353;0;5.58;-
76 Psc;1.103111;+;32.181483;0;6.28;-
75 Psc;1.109341;+;12.956036;0;6.14;-
iot Tuc;1.121851;-;61.775292;0;5.36;-
30 Cet;1.129503;-;9.785553;0;5.71;-
ups Phe;1.129959;-;41.4869;0;5.21;-
psi02 Psc;1.132544;+;20.739094;0;5.56;-
29 Cet;1.133239;+;1.993067;0;6.44;-
41 And;1.133569;+;43.942094;0;5.04;-
78 Psc;1.133707;+;32.012119;0;6.23;-
mu. Cas;1.137879;+;54.9202;0;5.17;Marfak
e Psc;1.139537;+;5.650208;0;5.51;-
zet Phe;1.139746;-;55.245758;0;3.94;-
eta Cet;1.143164;-;10.182258;0;3.46;Deneb
2 UMi;1.145798;+;86.257092;0;4.24;-
phi And;1.158388;+;47.241644;0;4.26;-
bet And;1.162201;+;35.620567;0;2.07;Mirach
psi03 Psc;1.163667;+;19.658403;0;5.57;-
32 Cet;1.169985;-;8.906133;0;6.4;-
44 And;1.171873;+;42.081481;0;5.67;-
33 Cet;1.175987;+;2.445672;0;5.97;-
31 Cas;1.177589;+;68.778614;0;5.32;-
tet Cas;1.184984;+;55.149944;0;4.34;Marfak
g Psc;1.185213;+;31.424739;0;5.15;-
45 And;1.186188;+;37.724122;0;5.8;-
chi Psc;1.190894;+;21.034653;0;4.66;-
tau Psc;1.194343;+;30.089644;0;4.51;-
32 Cas;1.194834;+;65.018856;0;5.57;-
34 Cet;1.195419;-;2.251081;0;5.93;-
35 Cet;1.208513;+;2.471581;0;6.55;-
zet Psc A;1.228858;+;7.575361;0;5.21;-
phi Psc;1.229152;+;24.583708;0;4.67;-
zet Psc B;1.229238;+;7.578267;0;6.44;-
87 Psc;1.235453;+;16.133486;0;5.97;-
37 Cet;1.240011;-;7.922836;0;5.14;-
88 Psc;1.245109;+;6.995133;0;6.04;-
38 Cet;1.246992;+;0;0;5.7;-
nu. Phe;1.253089;-;45.531667;0;4.97;-
kap Tuc;1.26282;-;68.875975;0;4.25;-
39 Cet;1.276747;-;2.500364;0;5.42;-
40 Cet;1.283057;-;2.279156;0;6.52;-
f Psc;1.296654;+;3.614467;0;5.13;-
ups Psc;1.324443;+;27.264058;0;4.74;-
42 Cet;1.330083;+;0;0;5.87;-
phi Cas;1.334699;+;58.231611;0;4.95;-
35 Cas;1.351463;+;64.658128;0;6.33;-
l Psc;1.352048;+;28.738214;0;5.23;-
ksi And;1.372339;+;45.528778;0;4.87;Adhil
43 Cet;1.376341;+;0;0;6.5;-
47 And;1.394615;+;37.714939;0;5.6;-
tet Cet;1.400402;-;8.182756;0;3.6;-
44 Cet;1.400705;-;8.007408;0;6.21;-
46 Cet;1.42701;-;14.598792;0;4.9;-
del Cas;1.430173;+;60.235397;0;2.66;Ruchbah
psi Cas;1.432228;+;68.130017;0;4.72;-
rho Psc;1.437573;+;19.172342;0;5.35;-
94 Psc;1.444911;+;19.240425;0;5.5;-
47 Cet;1.447657;-;13.056511;0;5.51;-
R Scl;1.449472;-;32.543103;0;6.57;-
ome And;1.460939;+;45.406694;0;4.83;-
95 Psc;1.461057;+;5.352792;0;7.21;-
gam Phe;1.472758;-;43.318244;0;3.41;-
48 Cet;1.493362;-;21.629344;0;5.11;-
97 Psc;1.498018;+;18.355669;0;6.01;-
49 And;1.501695;+;47.007281;0;5.27;-
mu. Psc;1.503087;+;6.143828;0;4.84;-
38 Cas;1.520488;+;70.2646;0;5.82;-
del Phe;1.520863;-;49.0727;0;3.93;-
eta Psc;1.524725;+;15.345828;0;3.62;Al'farg
chi Cas;1.565521;+;59.232042;0;4.68;-
49 Cet;1.577161;-;15.676358;0;5.62;-
100 Psc;1.581006;+;12.558639;0;7.05;-
